,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9
Y0,0.6711225475699911,0.7060509618236016,0.600756617896955,0.5426736570814097,0.5385411169714039,0.3623202873778055,0.46823566300669855,0.5098361469024539,0.6400788428450078,0.5763940781315487
Y1,0.5661303287561283,0.446368048366279,0.3489217262076966,0.46671051007900033,0.37192078389724365,0.37984848254932846,0.29428349572985146,0.3980866799578276,0.35842685351359804,0.523434779100104
Y2,0.6431905950844514,0.52093684935272,0.32025031019372796,0.3666865669907322,0.16627092675651664,0.28986376448313633,0.30820614240357547,0.33421305355291087,0.37870810719971704,0.5204933936143912
Y3,0.4515449900128595,0.4505933577831459,0.2979478744659373,0.9291140488912009,0.8070724871510981,0.8860804879016123,0.9020033704636501,0.9072354989406904,0.27385080918216503,0.408699150000307
Y4,0.43151409024814075,0.26531752891618143,0.28435414810112486,0.9362785021207676,0.8555192195463532,0.825772113093264,0.8785351353094188,0.9912811445591898,0.3145144992669018,0.4301044061916617
Y5,0.5269469001336375,0.37762736668442864,0.1666290304057284,0.837426178350169,0.9807967909856474,0.9087611900154653,0.8913822843291532,0.976408282045978,0.24511887284211575,0.22510339186970713
Y6,0.5119133187227725,0.26732680365913664,0.13583501797962688,0.8917207923537172,0.9448335273223087,0.8798050643406204,0.9808088785801916,0.9380050040382455,0.2920408362280345,0.3833463271213273
Y7,0.44700651415904313,0.30710120657878776,0.1854474001666721,0.9399244108501034,0.8655440803114238,0.9513557285473779,0.9272122110894283,0.848004054675942,0.23107630539886584,0.35679003790058633
Y8,0.4839217594829426,0.5033449027507055,0.2639881351130069,0.31377198442743,0.27566968065049646,0.25548151236975064,0.17181511433134672,0.24913516366894478,0.37013844686563663,0.4002001807742952
Y9,0.5921351326166167,0.4657201159503074,0.43760697704060325,0.28972710697138504,0.39789665149318526,0.23820918954202747,0.34170450434536687,0.3421666666296015,0.46114439005567687,0.6181959280798645
