,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9
Y0,0.7212786428255848,0.6038386396618667,0.6603149633349098,0.7320347074985369,0.6580155214420887,0.7236030857997683,0.6857537401891531,0.62709481284449,0.6596564651912061,0.713992982140253
Y1,0.7181745522496346,0.7148650497699157,0.7306401639714266,0.7304206540003377,0.6862836870867948,0.7793093191702125,0.6735123740095793,0.6871729850531253,0.7783846710031344,0.7612387978092171
Y2,0.7407777167080732,0.6200453774624601,0.7838965227489347,0.7428482599098223,0.7997694013135732,0.6298896609315987,0.7736252114736428,0.6324985869352749,0.7231119128567688,0.6247639965698882
Y3,0.7696016458644468,0.7614637917450021,0.7138201477229186,0.990558331394389,0.9374976552775631,0.8431015354227117,0.9894741180977848,0.9461711613540316,0.7732764651857258,0.7951043010005772
Y4,0.7711606684785222,0.6023428168370003,0.6719956128956728,0.8507883285190052,0.8426623954734964,0.9036401427861327,0.8051325436109064,0.8414940150882219,0.6037043588921227,0.7587395406714841
Y5,0.644784937612076,0.6690703361393805,0.7856162586931181,0.8849370937503013,0.8748339960668451,0.8927150848729621,0.8555257412589464,0.9173568692916337,0.6475785642749017,0.7868427995849587
Y6,0.7227931911931792,0.7071265606049916,0.7179819952709141,0.9727711211846464,0.8235063711924067,0.9034758214308228,0.8264136212690307,0.9433719362385188,0.7888744779967867,0.7479101590098575
Y7,0.6980917617235134,0.6454829255946646,0.6508712963540786,0.8792119405614588,0.9130842623717018,0.8366559672428158,0.8289695518686755,0.897611256129791,0.635920735511927,0.6049357456782662
Y8,0.6134499262926496,0.7358785546997134,0.690739368911209,0.7073158422217444,0.7793342586080684,0.7980677894793409,0.6433793968796947,0.7326156406200202,0.6526644753474301,0.6041301998931456
Y9,0.7516757307672283,0.6640034301644935,0.6766927788343795,0.7176634227107211,0.766209691047238,0.7257963687182297,0.774530131089479,0.6547084069631272,0.7596093667825127,0.6371271888611904
